Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time,,Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
4724,SUCCESS,2,60,1068,0.1,1068.1,,525,SUCCESS,2,7,1314,0.1,1314.1
4725,SUCCESS,2,60,1068,0.1,1068.1,,2795,SUCCESS,2,36,1314,0.1,1314.1
4726,SUCCESS,2,60,1068,0.1,1068.1,,3187,SUCCESS,2,41,1314,0.1,1314.1
4727,SUCCESS,2,60,1068,0.1,1068.1,,11722,SUCCESS,2,150,1314,0.1,1314.1
4728,SUCCESS,2,60,1068,0.1,1068.1,,15089,SUCCESS,2,193,1314,0.1,1314.1
4729,SUCCESS,2,60,1068,0.1,1068.1,,18847,SUCCESS,2,241,1314,0.1,1314.1
4730,SUCCESS,2,60,1068,0.1,1068.1,,19160,SUCCESS,2,245,1314,0.1,1314.1
4731,SUCCESS,2,60,1068,0.1,1068.1,,603,SUCCESS,2,8,1331,0.1,1331.1
4732,SUCCESS,2,60,1068,0.1,1068.1,,916,SUCCESS,2,12,1331,0.1,1331.1
4733,SUCCESS,2,60,1068,0.1,1068.1,,2170,SUCCESS,2,28,1331,0.1,1331.1
4734,SUCCESS,2,60,1068,0.1,1068.1,,3265,SUCCESS,2,42,1331,0.1,1331.1
4737,SUCCESS,2,60,1068,0.1,1068.1,,7415,SUCCESS,2,95,1331,0.1,1331.1
4738,SUCCESS,2,60,1068,0.1,1068.1,,9216,SUCCESS,2,118,1331,0.1,1331.1
4739,SUCCESS,2,60,1068,0.1,1068.1,,10391,SUCCESS,2,133,1331,0.1,1331.1
4740,SUCCESS,2,60,1068,0.1,1068.1,,11330,SUCCESS,2,145,1331,0.1,1331.1
4741,SUCCESS,2,60,1068,0.1,1068.1,,15559,SUCCESS,2,199,1331,0.1,1331.1
4743,SUCCESS,2,60,1068,0.1,1068.1,,1229,SUCCESS,2,16,1352,0.1,1352.1
4744,SUCCESS,2,60,1068,0.1,1068.1,,3657,SUCCESS,2,47,1352,0.1,1352.1
4745,SUCCESS,2,60,1068,0.1,1068.1,,4440,SUCCESS,2,57,1352,0.1,1352.1
4746,SUCCESS,2,60,1068,0.1,1068.1,,7728,SUCCESS,2,99,1352,0.1,1352.1
4747,SUCCESS,2,60,1068,0.1,1068.1,,14932,SUCCESS,2,191,1369,0.1,1369.1
4748,SUCCESS,2,60,1068,0.1,1068.1,,,,,,,,
4749,SUCCESS,2,60,1068,0.1,1068.1,,,,,,,,
4750,SUCCESS,2,60,1068,0.1,1068.1,,,,,,,,
4751,SUCCESS,2,60,1068,0.1,1068.1,,,,,,,,
19317,SUCCESS,2,247,1068,0.1,1068.1,,,,,,,,
19318,SUCCESS,2,247,1068,0.1,1068.1,,,,,,,,
19319,SUCCESS,2,247,1068,0.1,1068.1,,,,,,,,
19321,SUCCESS,2,247,1068,0.1,1068.1,,,,,,,,
